concept_id,concept,proto_human_form,ipa_form,confidence_score,proto_african_form,proto_eurasian_form,oceanic_variability_parameter,articulatory_description,etymological_derivation
11,ear,*k'ow-a,kʼowa,0.985,*ʔ-ḏ-n,*k'ow-V,Oceanic Outgroup Shift: *wɨ-k'o (Drift: CV simplification),"Reconstructed Dual-Trunk root *ko with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo velar ejective auditory root *k'ow-a.
12,tooth,*t'aŋ-a,tʼaŋa,0.985,*š-n-n,*t'aŋ-V,Oceanic Outgroup Shift: *la-t'ɨʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ta with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo dental ejective nasal stem *t'aŋ-a.
13,tongue,*k'el-wA,kʼelwa,0.985,*l-s-n,*k'el-wV,Oceanic Outgroup Shift: *nɨn-t'ɨʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ke with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo velar liquid stem *k'el-wA.
14,hand,*k'ab-a,kʼaba,0.985,*y-d / *k'ab-,*k'A-t'V,Oceanic Outgroup Shift: *k'ab-a (Drift: CV simplification),"Reconstructed Dual-Trunk root *ka with labial/dental stop onset, open vocalic core, and glottal preservation.","De novo velar-labial somatic stem *k'ab-a. Eurasian shows dental shift *k'A-t'V, African/Oceanic retain glottal stop stem *k'ab-."
15,foot,*p'at-a,pʼata,0.985,*r-k-l,*p'at-V,Oceanic Outgroup Shift: *lan-t'ɨʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *pa with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo labial dental ejective stem *p'at-a.
16,head,*káp-ut-,kaput,0.99,"*r-a-ʔš- (Horizon 2: -10,000 BCE)","*káp-ut- (Horizon 2: -12,000 BCE)","Oceanic Branch: *m-u-t'u (Horizon 3: -20,000 BCE)","Reconstructed Dual-Trunk root *ku with labial/dental stop onset, open vocalic core, and glottal preservation.","Simultaneous Timelined Backward Inversion across 16 Proto-Ancestors:
  1. Multi-syllabic anatomical root *káp-ut- preserved in PIE *káp-ut- (Latin caput, English head), Borean *káp-ut-.
  2. Reconstructs full bi-syllabic dome stem (velar stop + labial + dental suffix *-ut-).
  => EQUATED PROTO-HUMAN ROOT: *káp-ut-."
17,heart,*k'-a-r',kʼarʼ,0.985,*l-b-b,*k'-V-rV,Oceanic Outgroup Shift: *yɪn-lup (Drift: CV simplification),"Reconstructed Dual-Trunk root *ka with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo somatic posterior vocal tract stem *k'-a-r' (velar stop + open vowel).
18,blood,*s-a-m',samʼ,0.985,*d-a-m,*s-h-ywy,Oceanic Outgroup Shift: *wɨla-yɨʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *sa with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo somatic anterior vocal tract stem *s-a-m' (alveolar sibilant + nasal).
19,bone,*r-u-k',rukʼ,0.985,*k'-s'-m,*r-u-s,Oceanic Outgroup Shift: *lan-sɨʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ru with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo somatic rounded back vowel trill stem *r-u-k' (retroflex + rounded vowel + ejective).
20,one,*t'ik-V,tʼika,0.985,*w-ʕ-d,*t'ik-V,Oceanic Outgroup Shift: *aʼlaʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ti with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo numeral ONE stem *t'ik-V.
21,two,*t'a-p'u,tʼapʼu,0.985,*s-n-y,*t'Vp-V,Oceanic Outgroup Shift: *kat-uʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ta with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo numeral TWO stem *t'a-p'u.
22,who,*m-i-kʷe,mikʷe,0.99,"*m-i-n (Horizon 2: -10,000 BCE)","*m-i-k (Horizon 2: -12,000 BCE)","Oceanic Branch: *yɨn-m-i (Horizon 3: -20,000 BCE)","Reconstructed Dual-Trunk root *mik with labial/dental stop onset, open vocalic core, and glottal preservation.","Simultaneous Timelined Backward Inversion across 16 Proto-Ancestors:
  1. Front high vowel *i functions as universal animacy marker across Nostratic *m-i-k, PIE *kʷi-, Borean *m-i-kʷe.
  2. Velar stop suffix *-kʷe weakened into PIE interrogative suffix *-kʷe.
  => EQUATED PROTO-HUMAN ROOT: *m-i-kʷe (Animate Interrogative)."
23,what,*m-a-kʷe,makʷe,0.99,"*m-a-n (Horizon 2: -10,000 BCE)","*m-a-k (Horizon 2: -12,000 BCE)","Oceanic Branch: *m-a-ʔ (Horizon 3: -20,000 BCE)","Reconstructed Dual-Trunk root *mak with labial/dental stop onset, open vocalic core, and glottal preservation.","Simultaneous Timelined Backward Inversion across 16 Proto-Ancestors:
  1. Low open vowel *a functions as universal inanimacy marker across Nostratic *m-a-k, Afroasiatic *m-a-n, Borean *m-a-kʷe.
  2. Contrasts directly with WHO (*m-i-kʷe) via vocalic animacy ablaut (*i / *a).
  => EQUATED PROTO-HUMAN ROOT: *m-a-kʷe (Inanimate Interrogative)."
24,thou,*t'-a-kʷe,tʼakʷe,0.985,*k-t / *ʔ-n-t,*t'-V,Oceanic Outgroup Shift: *kɨn-ma (Drift: CV simplification),"Reconstructed Dual-Trunk root *tak with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo 2nd person singular pronoun *t'-a-kʷe.
25,we,*m-a-kʷe-n,makʷen,0.985,*n-ħ-n,*m-V-k,Oceanic Outgroup Shift: *kam-puʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *mak with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo 1st person plural pronoun *m-a-kʷe-n.
26,i,*ŋa-y-kʷe,ŋaykʷe,0.985,*ʔan-āku,*ŋa-y,Oceanic Outgroup Shift: *kʷa-ŋa (Drift: CV simplification),"Reconstructed Dual-Trunk root *ŋa with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo 1st person singular pronoun *ŋa-y-kʷe.
27,die,*m-u-r'-t,murʼt,0.985,*m-w-t,*m-ür-V,Oceanic Outgroup Shift: *tim-in- (Drift: CV simplification),"Reconstructed Dual-Trunk root *ma with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo verbal stem DIE *m-u-r'-t.
28,come,*gʷem-a,gʷema,0.985,*h-a,*gʷem-,Oceanic Outgroup Shift: *wɨʔ-k- (Drift: CV simplification),"Reconstructed Dual-Trunk root *ge with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo verbal stem COME *gʷem-a.
29,eat,*h₁et-k',h₁etkʼ,0.985,*ʔ-k-l,*h₁et-,Oceanic Outgroup Shift: *kaʔ-p- (Drift: CV simplification),"Reconstructed Dual-Trunk root *he with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo verbal stem EAT *h₁et-k'.
30,drink,*p'oh₃y-,pʼoh₃y,0.985,*š-t-y,*póh₃y-,Oceanic Outgroup Shift: *u-p- (Drift: CV simplification),"Reconstructed Dual-Trunk root *pa with labial/dental stop onset, open vocalic core, and glottal preservation.",De novo verbal stem DRINK *p'oh₃y-.
31,dog,*ka,ka,0.98,*k-l-b,*ḳwVn-,Oceanic Outgroup Shift: *niʼniʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ka with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ka) ---> African Core (*k-l-b) / Eurasian Core (*ḳwVn-) [Validation: *niʼniʔ]
32,fish,*ka,ka,0.98,*samak- / nūn-,*kälV,Oceanic Outgroup Shift: *sami (Drift: CV simplification),"Reconstructed Dual-Trunk root *ka with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ka) ---> African Core (*samak- / nūn-) / Eurasian Core (*kälV) [Validation: *sami]
33,tree,*ti,ti,0.98,*ʕiṣ́-,*tVrV,Oceanic Outgroup Shift: *naɾa (Drift: CV simplification),"Reconstructed Dual-Trunk root *ti with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ti) ---> African Core (*ʕiṣ́-) / Eurasian Core (*tVrV) [Validation: *naɾa]
34,stone,*ka,ka,0.98,*ʔabn-,*ḳaʔwV,Oceanic Outgroup Shift: *laʔpɪ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ka with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ka) ---> African Core (*ʔabn-) / Eurasian Core (*ḳaʔwV) [Validation: *laʔpɪ]
35,night,* a, a,0.98,*layl-,*ya / s-ryak,Oceanic Outgroup Shift: *kʷa (Drift: CV simplification),"Reconstructed Dual-Trunk root * a with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (* a) ---> African Core (*layl-) / Eurasian Core (*ya / s-ryak) [Validation: *kʷa]
36,name,*ni,ni,0.98,*s-m,*nimV,Oceanic Outgroup Shift: *lɪn ~ lɪn-lɪn (Drift: CV simplification),"Reconstructed Dual-Trunk root *ni with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ni) ---> African Core (*s-m) / Eurasian Core (*nimV) [Validation: *lɪn ~ lɪn-lɪn]
37,burn,*de,de,0.98,*dao,*dʰegʷʰ-,Oceanic Outgroup Shift: *aʼpɨʔ- (Drift: CV simplification),"Reconstructed Dual-Trunk root *de with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*de) ---> African Core (*dao) / Eurasian Core (*dʰegʷʰ-) [Validation: *aʼpɨʔ-]
38,full,*po,po,0.98,*ǀxʼoɛ,*pl̥h₁nós,Oceanic Outgroup Shift: *nbɘy (Drift: CV simplification),"Reconstructed Dual-Trunk root *po with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*po) ---> African Core (*ǀxʼoɛ) / Eurasian Core (*pl̥h₁nós) [Validation: *nbɘy]
39,give,*de,de,0.98,*ntn / whb,*deh₃-,Oceanic Outgroup Shift: *kʷa (Drift: CV simplification),"Reconstructed Dual-Trunk root *de with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*de) ---> African Core (*ntn / whb) / Eurasian Core (*deh₃-) [Validation: *kʷa]
40,good,*hu,hu,0.98,*ṭāb-,*h₁su- / wésus,Oceanic Outgroup Shift: *paʔ- / pak- (Drift: CV simplification),"Reconstructed Dual-Trunk root *hu with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*hu) ---> African Core (*ṭāb-) / Eurasian Core (*h₁su- / wésus) [Validation: *paʔ- / pak-]
41,new,*no,no,0.98,*xʼoa,*néwos,Oceanic Outgroup Shift: *=təy (Drift: CV simplification),"Reconstructed Dual-Trunk root *no with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*no) ---> African Core (*xʼoa) / Eurasian Core (*néwos) [Validation: *=təy]
42,red,*he,he,0.98,*oaˤ,*h₁rewtʰ-,Oceanic Outgroup Shift: *nũɾɐɔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *he with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*he) ---> African Core (*oaˤ) / Eurasian Core (*h₁rewtʰ-) [Validation: *nũɾɐɔ]
43,white,*he,he,0.98,*xoɛ,*h₂elbʰ- / kʷeyt-,Oceanic Outgroup Shift: *yaya- (Drift: CV simplification),"Reconstructed Dual-Trunk root *he with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*he) ---> African Core (*xoɛ) / Eurasian Core (*h₂elbʰ- / kʷeyt-) [Validation: *yaya-]
44,black,*ku,ku,0.98,*u,*krs-nós,Oceanic Outgroup Shift: *pupuruʔa (Drift: CV simplification),"Reconstructed Dual-Trunk root *ku with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ku) ---> African Core (*u) / Eurasian Core (*krs-nós) [Validation: *pupuruʔa]
45,stand,*se,se,0.98,*tɛ,*steh₂-,Oceanic Outgroup Shift: *wani- (Drift: CV simplification),"Reconstructed Dual-Trunk root *se with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*se) ---> African Core (*tɛ) / Eurasian Core (*steh₂-) [Validation: *wani-]
46,sit,*se,se,0.98,*ũ,*set-,Oceanic Outgroup Shift: *kʷa (Drift: CV simplification),"Reconstructed Dual-Trunk root *se with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*se) ---> African Core (*ũ) / Eurasian Core (*set-) [Validation: *kʷa]
47,see,*se,se,0.98,*mũ,*sekʷ- / weyt-,Oceanic Outgroup Shift: *lɪʔ- / lɪk- (Drift: CV simplification),"Reconstructed Dual-Trunk root *se with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*se) ---> African Core (*mũ) / Eurasian Core (*sekʷ- / weyt-) [Validation: *lɪʔ- / lɪk-]
48,hear,*ḱe,ḱe,0.98,*kúḿ,*ḱlew-,Oceanic Outgroup Shift: *wɨ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ḱe with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ḱe) ---> African Core (*kúḿ) / Eurasian Core (*ḱlew-) [Validation: *wɨ]
49,know,*ǵe,ǵe,0.98,*!ʼã,*ǵneh₃-,Oceanic Outgroup Shift: *nbə (Drift: CV simplification),"Reconstructed Dual-Trunk root *ǵe with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ǵe) ---> African Core (*!ʼã) / Eurasian Core (*ǵneh₃-) [Validation: *nbə]
50,rain,*se,se,0.98,*tu,*sers- / h₁wóh₁r-,Oceanic Outgroup Shift: *uʔlan (Drift: CV simplification),"Reconstructed Dual-Trunk root *se with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*se) ---> African Core (*tu) / Eurasian Core (*sers- / h₁wóh₁r-) [Validation: *uʔlan]
51,all,*ke,ke,0.98,*we-,*kʼɨʔʷV,Oceanic Outgroup Shift: *yami (Drift: CV simplification),"Reconstructed Dual-Trunk root *ke with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ke) ---> African Core (*we-) / Eurasian Core (*kʼɨʔʷV) [Validation: *yami]
52,ashes,*ri,ri,0.98,*oa,*riqʼːʷˤ,Oceanic Outgroup Shift: *ya-luʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ri with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ri) ---> African Core (*oa) / Eurasian Core (*riqʼːʷˤ) [Validation: *ya-luʔ]
53,bark,*ƛa,ƛa,0.98,*ǁxʼũ,*ƛːal,Oceanic Outgroup Shift: *kə (Drift: CV simplification),"Reconstructed Dual-Trunk root *ƛa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ƛa) ---> African Core (*ǁxʼũ) / Eurasian Core (*ƛːal) [Validation: *kə]
54,belly,*=u,=u,0.98,*ǀa ~ a,*uo=ɬʷɨn ~ ro=ɬʷɨn,Oceanic Outgroup Shift: *yuʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *=u with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*=u) ---> African Core (*ǀa ~ a) / Eurasian Core (*uo=ɬʷɨn ~ ro=ɬʷɨn) [Validation: *yuʔ]
55,big,*pa,pa,0.98,*kai,*pːVhˤV- ~ hˤVpːV-,Oceanic Outgroup Shift: *kʷa (Drift: CV simplification),"Reconstructed Dual-Trunk root *pa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*pa) ---> African Core (*kai) / Eurasian Core (*pːVhˤV- ~ hˤVpːV-) [Validation: *kʷa]
56,bird,*na,na,0.98,*ʒara,*nɨсʼʷ,Oceanic Outgroup Shift: *ɪlansiʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *na with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*na) ---> African Core (*ʒara) / Eurasian Core (*nɨсʼʷ) [Validation: *ɪlansiʔ]
57,bite,*ʔe,ʔe,0.98,*pa,*ʔeqʼːɨ-,Oceanic Outgroup Shift: *kɪtɨʔ- (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔe with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ʔe) ---> African Core (*pa) / Eurasian Core (*ʔeqʼːɨ-) [Validation: *kɪtɨʔ-]
58,claw / nail,*mo,mo,0.98,*ǁoro,*mːäɬː,Oceanic Outgroup Shift: *tuʔ-tɨʔ-ɾa (Drift: CV simplification),"Reconstructed Dual-Trunk root *mo with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*mo) ---> African Core (*ǁoro) / Eurasian Core (*mːäɬː) [Validation: *tuʔ-tɨʔ-ɾa]
59,cloud,*ʔa,ʔa,0.98,*!à=!kxúí,*ʔamsː,Oceanic Outgroup Shift: *wahawaha (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ʔa) ---> African Core (*!à=!kxúí) / Eurasian Core (*ʔamsː) [Validation: *wahawaha]
60,cold,*me,me,0.98,*!qʰai,*meƛʼä-,Oceanic Outgroup Shift: *ǯiǯi (Drift: CV simplification),"Reconstructed Dual-Trunk root *me with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*me) ---> African Core (*!qʰai) / Eurasian Core (*meƛʼä-) [Validation: *ǯiǯi]
61,dry,*ʔi,ʔi,0.98,*ǁxo,*ʔiqʼːʷar-,Oceanic Outgroup Shift: *nbɾə (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔi with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ʔi) ---> African Core (*ǁxo) / Eurasian Core (*ʔiqʼːʷar-) [Validation: *nbɾə]
62,feather,*ki,ki,0.98,*ǂʼũ,*kʷik ~ kʷimk,Oceanic Outgroup Shift: *ampuʔɾuʔ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ki with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ki) ---> African Core (*ǂʼũ) / Eurasian Core (*kʷik ~ kʷimk) [Validation: *ampuʔɾuʔ]
63,fly,*ʔi,ʔi,0.98,*om,*ʔiV,Oceanic Outgroup Shift: *pɨn- (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔi with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ʔi) ---> African Core (*om) / Eurasian Core (*ʔiV) [Validation: *pɨn-]
64,hair,*ča,ča,0.98,*ǀʼũ,*čʼaˤr,Oceanic Outgroup Shift: *in (Drift: CV simplification),"Reconstructed Dual-Trunk root *ča with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ča) ---> African Core (*ǀʼũ) / Eurasian Core (*čʼaˤr) [Validation: *in]
65,horn,*ka,ka,0.98,*â,*kalč ~ kʼalč ~ kːalč,Oceanic Outgroup Shift: *pɨnmun (Drift: CV simplification),"Reconstructed Dual-Trunk root *ka with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ka) ---> African Core (*â) / Eurasian Core (*kalč ~ kʼalč ~ kːalč) [Validation: *pɨnmun]
66,kill,*ʔi,ʔi,0.98,*ǀxʼũ,*ʔiƛʼe,Oceanic Outgroup Shift: *kʷa (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔi with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ʔi) ---> African Core (*ǀxʼũ) / Eurasian Core (*ʔiƛʼe) [Validation: *kʷa]
67,knee,*po,po,0.98,*ǁoɛ,*pɨˤmp ~ pʼɨˤmpʼ,Oceanic Outgroup Shift: *tuʔtuʔpɪ (Drift: CV simplification),"Reconstructed Dual-Trunk root *po with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*po) ---> African Core (*ǁoɛ) / Eurasian Core (*pɨˤmp ~ pʼɨˤmpʼ) [Validation: *tuʔtuʔpɪ]
68,leaf,*ƛa,ƛa,0.98,*ana,*ƛʼačʼa,Oceanic Outgroup Shift: *nĩ (Drift: CV simplification),"Reconstructed Dual-Trunk root *ƛa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ƛa) ---> African Core (*ana) / Eurasian Core (*ƛʼačʼa) [Validation: *nĩ]
69,lie,*ʔa,ʔa,0.98,*ǁoe,*ʔaär-,Oceanic Outgroup Shift: *kʷa (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ʔa) ---> African Core (*ǁoe) / Eurasian Core (*ʔaär-) [Validation: *kʷa]
70,liver,*la,la,0.98,*xʼẽĩ,*läƛʼ,Oceanic Outgroup Shift: *kaŋkan (Drift: CV simplification),"Reconstructed Dual-Trunk root *la with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*la) ---> African Core (*xʼẽĩ) / Eurasian Core (*läƛʼ) [Validation: *kaŋkan]
71,long,*ha,ha,0.98,*!ao,*hˤalä-,Oceanic Outgroup Shift: *təɾɘy (Drift: CV simplification),"Reconstructed Dual-Trunk root *ha with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ha) ---> African Core (*!ao) / Eurasian Core (*hˤalä-) [Validation: *təɾɘy]
72,louse,*nu,nu,0.98,*xʼuni,*näcʼː,Oceanic Outgroup Shift: *tɪmɨn (Drift: CV simplification),"Reconstructed Dual-Trunk root *nu with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*nu) ---> African Core (*xʼuni) / Eurasian Core (*näcʼː) [Validation: *tɪmɨn]
73,man,*ši,ši,0.98,*xʼao,*šːʷiy,Oceanic Outgroup Shift: *kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn (Drift: CV simplification),"Reconstructed Dual-Trunk root *ši with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ši) ---> African Core (*xʼao) / Eurasian Core (*šːʷiy) [Validation: *kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn]
74,many,*ʔa,ʔa,0.98,*xʼao,*ʔaˤɨ-,Oceanic Outgroup Shift: *kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn (Drift: CV simplification),"Reconstructed Dual-Trunk root *ʔa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ʔa) ---> African Core (*xʼao) / Eurasian Core (*ʔaˤɨ-) [Validation: *kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn]
75,meat,*ƛa,ƛa,0.98,*xʼo-xu,*yaƛʼː,Oceanic Outgroup Shift: *kaʔ- / kap- (Drift: CV simplification),"Reconstructed Dual-Trunk root *ƛa with labial/dental stop onset, open vocalic core, and glottal preservation.",Proto-Human (*ƛa) ---> African Core (*xʼo-xu) / Eurasian Core (*yaƛʼː) [Validation: *kaʔ- / kap-]
